code,name,county,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
292318,Thomasville Primary,Davidson,Thomasville,"915 E Sunrise Avenue, Thomasville, NC 27360",-80.0599535,35.8762035,Thomasville City Schools,63.6,C,50.8,3
292316,Liberty Drive Elementary,Davidson,Thomasville,"401 Liberty Drive, Thomasville, NC 27360",-80.064539,35.878658,Thomasville City Schools,60.2,D,29.8,4
340420,Kernersville Middle,Forsyth,Kernersville,"110 Brown Road, Kernersville, NC 27284",-80.0734613,36.1361871,Forsyth County Schools,41.6,B,69.3,2
292324,Thomasville High,Davidson,Thomasville,"410 Unity Street, Thomasville, NC 27360",-80.075723,35.900516,Thomasville City Schools,45,C,42.9,3
290328,Fair Grove Elementary,Davidson,Thomasville,"217 Cedar Lodge Road, Thomasville, NC 27360",-80.078673,35.8476484,Davidson County Schools,48.3,D,50.2,3
292320,Thomasville Middle,Davidson,Thomasville,"400 Unity Street, Thomasville, NC 27360",-80.0787454,35.8994555,Thomasville City Schools,56.7,D,37.3,4
40330,Wadesboro Elementary,Anson,Wadesboro,"321 Camden Road, Wadesboro, NC 28710",-80.0790723,34.9622196,Anson County Schools,71.9,F,22,4
340416,Kernersville Elementary,Forsyth,Kernersville,"512 W Mountain Street, Kernersville, NC 27284",-80.0796937,36.1265113,Forsyth County Schools,51.3,C,57.3,3
290332,Hasty Elementary,Davidson,Thomasville,"325 Hasty School Road, Thomasville, NC 27360",-80.0813282,35.9223857,Davidson County Schools,64.4,B,64.6,2
290302,Brier Creek Elementary,Davidson,Thomasville,"175 Watford Road, Thomasville, NC 27360",-80.087284,35.798359,Davidson County Schools,63.4,B,69.6,2
40309,Anson Middle,Anson,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170",-80.0882123,34.9896098,Anson County Schools,55.2,D,35.6,4
340326,Caleb's Creek Elementary,Forsyth,Kernersville,"1109 Salem Crossing Rd, Kernersville, NC 27284",-80.0890229,36.078296,Forsyth County Schools,39.1,B,70.4,2
340516,Southeast Middle,Forsyth,Kernersville,"1200 Old Salem Road, Kernersville, NC 27284",-80.089661,36.0807,Forsyth County Schools,51.8,C,51.7,3
290364,Silver Valley Elementary,Davidson,Lexington,"11161 East Old Hwy 64, Lexington, NC 27292",-80.1005543,35.732407,Davidson County Schools,71.5,C,51.6,3
850348,Sandy Ridge Elementary,Stokes,Sandy Ridge,"1070 Amostown Road, Sandy Ridge, NC 27046",-80.100645,36.499682,Stokes County Schools,61,B,66.8,2
290324,East Davidson High,Davidson,Thomasville,"1408 Lake Road, Thomasville, NC 27360",-80.102208,35.850511,Davidson County Schools,35.7,B,61.9,2
290367,South Davidson Middle,Davidson,Denton,"14954 NC Hwy 109 South, Denton, NC 27239",-80.1033943,35.673509,Davidson County Schools,57.7,C,52.8,3
40306,Anson High School,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,50.7,D,23.5,4
290365,South Davidson High,Davidson,Denton,"14956 South NC Hwy 109, Denton, NC 27239",-80.104271,35.672924,Davidson County Schools,46.9,C,39.7,4
290322,E Lawson Brown Middle,Davidson,Thomasville,"1140 Kendall Mill Road, Thomasville, NC 27360",-80.1045539,35.848914,Davidson County Schools,52,C,56.6,3
