,county,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
24,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10392,Sylvan Elementary,Snow Camp,"7718 Sylvan Road, Snow Camp, NC 27349",-79.4365221,35.8799967,Alamance-Burlington Schools,62.30,D,43.80,3.0
25,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10396,Walter M Williams High,Burlington,"1307 S Church Street, Burlington, NC 27215",-79.4543311,36.0884929,Alamance-Burlington Schools,52.40,B,59.50,3.0
26,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10351,Grove Park Elementary,Burlington,"141 Trail One, Burlington, NC 27215",-79.4606761,36.0800356,Alamance-Burlington Schools,60.90,D,35.30,4.0
27,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10394,Turrentine Middle,Burlington,"1710 Edgewood Avenue, Burlington, NC 27215",-79.4623901,36.0907285,Alamance-Burlington Schools,65.00,D,41.50,3.0
28,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10358,Hillcrest Elementary,Burlington,"1714 W Davis Street, Burlington, NC 27215",-79.4648653,36.1031392,Alamance-Burlington Schools,57.60,D,33.10,4.0
29,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,01C000,Clover Garden,Burlington,"2454 Altamhaw Union Ridge Road, Burlington, NC 27217",-79.4715982,36.1870915,Charter Schools,11.00,B,66.30,2.0
30,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10362,Marvin B Smith Elementary,Burlington,"2235 Delaney Drive, Burlington, NC 27215",-79.4787377,36.0772234,Alamance-Burlington Schools,45.50,C,69.00,2.0
31,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10328,Edwin M Holt Elementary,Burlington,"4751 S NC 62, Burlington, NC 27215",-79.4888609,36.020872,Alamance-Burlington Schools,32.20,B,67.50,2.0
32,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10340,Elon Elementary,Elon,"510 E Haggard Avenue, Elon, NC 27244",-79.4991775,36.1041309,Alamance-Burlington Schools,47.10,C,57.10,3.0
33,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10400,Western Alamance High,Elon,"1731 N NC 87, Elon, NC 27244",-79.4991966,36.1528055,Alamance-Burlington Schools,28.60,C,54.30,3.0
