county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Alamance,2,18.30,50480,10400,Western Alamance High,Elon,"1731 N NC 87, Elon, NC 27244",-79.4991966,36.1528055,Alamance-Burlington Schools,28.60,C,54.30,3.00
Alamance,2,18.30,50480,10403,Western Alamance Middle,Elon,"2100 Eldon Drive, Elon, NC 27244",-79.5036285,36.1620485,Alamance-Burlington Schools,39.40,C,61.70,2.00
Alamance,2,18.30,50480,10308,Altamahaw-Ossipee Elementary,Elon,"2832 N NC 87, Elon, NC 27244",-79.5104138,36.1795464,Alamance-Burlington Schools,46.80,C,61.30,2.00
Alamance,2,18.30,50480,10312,Highland Elementary,Burlington,"3720 Bonnar Bridge Parkway, Burlington, NC 27215",-79.5179086,36.0585018,Alamance-Burlington Schools,37.70,B,66.90,2.00
Alexander,2,18.80,49138,20320,Stony Point Elementary,Stony Point,"311 Stony Point School Road, Stony Point, NC 28678",-81.0468615,35.8692561,Alexander County Schools,60.30,C,63.90,2.00
Alexander,2,18.80,49138,20316,Hiddenite Elementary,Hiddenite,"374 Sulphur Springs Road, Hiddenite, NC 28636",-81.0893554,35.9071151,Alexander County Schools,61.00,C,54.00,3.00
Alexander,2,18.80,49138,20306,East Alexander Middle,Hiddenite,"1285 White Plains Road, Hiddenite, NC 28636",-81.1199114,35.9295084,Alexander County Schools,53.60,C,57.20,3.00
Alexander,2,18.80,49138,20303,Alexander Early College,Taylorsville,"230 Industrial Blvd, Taylorsville, NC 28681",-81.1815586,35.910777,Alexander County Schools,27.50,A,87.30,1.00
Alexander,2,18.80,49138,20328,Taylorsville Elementary,Taylorsville,"100 7th Street SW, Taylorsville, NC 28681",-81.1828707,35.9203895,Alexander County Schools,42.20,B,75.80,2.00
Alexander,2,18.80,49138,20302,Alexander Central High,Taylorsville,"223 School Drive, Taylorsville, NC 28681",-81.1893043,35.9167533,Alexander County Schools,38.30,B,52.70,3.00
Alexander,2,18.80,49138,20324,Sugar Loaf Elementary,Taylorsville,"3600 NC Hwy 16N, Taylorsville, NC 28681",-81.1915002,35.9708229,Alexander County Schools,42.10,B,72.50,2.00
Alexander,2,18.80,49138,20332,Wittenburg Elementary,Taylorsville,"7300 Church Road, Taylorsville, NC 28681",-81.2413853,35.8273613,Alexander County Schools,44.30,B,69.50,2.00
Alexander,2,18.80,49138,20308,Ellendale Elementary,Taylorsville,"175 Ellendale Park Lane, Taylorsville, NC 28681",-81.2789738,35.9280489,Alexander County Schools,41.80,B,67.40,2.00
