id,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
55,1,4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
56,1,19.1,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
57,1,4,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
58,1,18.3,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
59,1,18.6,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
60,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
61,1,38.5,5.8,0,1.4,23.2,14.7,6.7,7.5,1,23.2,43967
62,1,13.4,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
63,1,6.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
64,1,16.3,1.4,0,0.9,19.9,8,6.4,21.8,3,14.1,59471
65,1,8.9,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
66,1,7,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
67,1,22.1,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
68,1,18.2,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
69,1,15,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
70,1,37.3,1.4,2.6,1,9,11,7.3,31.8,3,15.4,60296
71,1,36.2,6.4,0,2.3,14.9,13.9,8.9,11.8,2,20.1,43972
72,1,7.2,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
73,1,5.4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
74,1,6.1,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
75,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
76,1,35.6,1.4,2.6,1,9,11,7.3,31.8,3,15.4,60296
77,1,5.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
