EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
3,83.90,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
3,83.90,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
3,83.90,4.20,22.90,2.00,8.60,20.70,11.00,36.30,2,24.10,47757
4,83.60,1.40,0.00,0.90,19.90,8.00,6.40,21.80,3,14.10,59471
3,83.50,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
4,83.50,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,83.40,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,83.40,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
1,83.30,4.80,0.00,2.00,13.80,11.20,7.60,50.00,1,20.70,50122
4,83.30,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,83.20,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
5,83.20,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
1,83.00,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,83.00,8.90,13.70,1.50,23.30,11.10,9.40,33.20,2,22.60,50149
4,82.90,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
5,82.90,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,82.60,2.70,0.00,0.90,23.20,17.00,12.50,17.60,2,19.90,44946
4,82.60,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
3,82.60,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
3,82.50,4.70,29.80,2.00,24.50,15.50,11.80,60.40,1,32.90,40263
3,82.30,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,82.20,5.80,7.10,0.80,24.80,8.80,6.00,23.30,3,13.00,60044
3,82.10,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
4,82.10,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,82.10,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
4,82.10,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,82.00,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
4,82.00,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,81.90,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
3,81.90,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
3,81.80,4.60,8.90,0.50,14.40,7.80,10.30,17.00,3,19.00,60163
4,81.80,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
3,81.60,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,81.60,1.40,0.00,0.90,19.90,8.00,6.40,21.80,3,14.10,59471
3,81.50,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
4,81.50,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
4,81.50,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
5,81.50,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
3,81.50,2.70,0.00,0.90,23.20,17.00,12.50,17.60,2,19.90,44946
3,81.30,1.40,2.60,1.00,9.00,11.00,7.30,31.80,3,15.40,60296
4,81.30,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,81.30,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,81.20,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
4,81.00,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,81.00,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
3,81.00,1.40,0.00,0.90,19.90,8.00,6.40,21.80,3,14.10,59471
3,80.90,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
4,80.80,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
3,80.80,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
4,80.80,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,80.60,2.70,5.20,0.80,16.10,8.70,7.60,33.10,2,22.50,50748
3,80.40,4.90,51.20,3.10,25.70,18.10,15.40,61.50,1,31.30,36760
3,80.40,0.10,21.40,1.30,16.30,18.60,7.10,49.00,1,33.10,42807
4,80.40,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,80.30,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,80.10,2.90,15.60,1.20,16.80,11.30,14.80,59.50,2,24.80,47892
3,80.10,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
4,80.00,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
4,80.00,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
3,80.00,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
5,80.00,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
4,79.90,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
3,79.80,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
4,79.70,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
4,79.70,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
3,79.60,2.70,5.20,0.80,16.10,8.70,7.60,33.10,2,22.50,50748
3,79.50,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
4,79.50,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,79.50,2.70,0.00,0.90,23.20,17.00,12.50,17.60,2,19.90,44946
3,79.40,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
3,79.40,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,79.30,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
3,79.30,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
3,79.30,0.80,11.80,1.00,4.80,12.60,9.20,35.70,2,18.70,57710
3,79.30,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
4,79.30,8.90,39.40,2.40,28.50,15.70,12.50,55.30,1,29.20,38023
5,79.30,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
2,79.20,1.60,14.10,1.50,28.90,14.30,5.70,41.30,2,22.20,48984
3,79.20,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
2,79.10,7.70,33.80,0.00,30.10,16.70,6.20,37.10,1,28.80,43302
4,79.10,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
4,79.00,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,78.90,1.60,28.70,0.90,26.60,23.40,14.30,48.20,1,27.30,42725
4,78.80,2.20,22.50,1.90,18.40,16.70,12.70,52.50,1,29.60,44015
4,78.80,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,78.70,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
3,78.70,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,78.70,1.60,14.10,1.50,28.90,14.30,5.70,41.30,2,22.20,48984
2,78.60,7.60,2.60,0.60,13.30,6.20,7.40,12.30,2,15.50,55052
3,78.60,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
3,78.60,4.00,13.00,1.30,6.70,11.90,10.20,41.40,2,18.40,58956
4,78.50,2.20,22.50,1.90,18.40,16.70,12.70,52.50,1,29.60,44015
3,78.50,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,78.40,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
4,78.40,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,78.30,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
4,78.30,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,78.30,13.80,16.70,1.40,24.40,14.00,10.60,26.30,1,27.10,42728
3,78.10,0.80,11.80,1.00,4.80,12.60,9.20,35.70,2,18.70,57710
3,78.10,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,78.00,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
4,78.00,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,78.00,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,78.00,7.80,4.10,1.00,13.10,8.20,5.60,15.90,3,15.00,54012
2,77.90,0.10,21.40,1.30,16.30,18.60,7.10,49.00,1,33.10,42807
3,77.90,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
3,77.90,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
3,77.90,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
4,77.80,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
3,77.80,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
4,77.80,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,77.80,1.60,14.10,1.50,28.90,14.30,5.70,41.30,2,22.20,48984
3,77.70,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,77.50,2.60,5.30,1.10,15.10,14.30,7.10,23.70,2,18.70,53738
4,77.40,4.80,0.00,2.00,13.80,11.20,7.60,50.00,1,20.70,50122
3,77.30,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
4,77.30,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,77.30,2.80,7.10,0.50,19.10,17.20,7.60,11.90,1,20.30,43328
4,77.20,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,77.20,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,77.20,2.80,7.10,0.50,19.10,17.20,7.60,11.90,1,20.30,43328
3,77.10,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
4,77.00,5.50,1.80,1.10,13.70,5.90,8.60,32.30,1,21.30,50531
2,77.00,0.10,21.40,1.30,16.30,18.60,7.10,49.00,1,33.10,42807
3,77.00,6.40,0.00,2.30,14.90,13.90,8.90,11.80,2,20.10,43972
4,76.90,4.80,0.00,2.00,13.80,11.20,7.60,50.00,1,20.70,50122
2,76.90,2.60,0.00,0.70,13.00,11.50,9.70,8.70,2,21.30,51398
3,76.80,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
4,76.80,4.00,13.00,1.30,6.70,11.90,10.20,41.40,2,18.40,58956
2,76.80,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
4,76.80,4.20,22.90,2.00,8.60,20.70,11.00,36.30,2,24.10,47757
3,76.80,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,76.70,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,76.60,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
4,76.60,4.90,51.20,3.10,25.70,18.10,15.40,61.50,1,31.30,36760
3,76.50,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
4,76.50,4.70,29.80,2.00,24.50,15.50,11.80,60.40,1,32.90,40263
3,76.50,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,76.50,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
4,76.40,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,76.40,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,76.30,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
4,76.30,8.90,39.40,2.40,28.50,15.70,12.50,55.30,1,29.20,38023
3,76.20,4.00,13.00,1.30,6.70,11.90,10.20,41.40,2,18.40,58956
4,76.20,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
4,76.20,4.40,16.00,1.60,21.20,12.60,8.60,35.80,2,18.30,50480
3,76.10,1.40,0.00,2.70,16.00,18.90,10.80,52.80,1,32.00,43591
2,76.10,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
4,76.10,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,76.10,2.70,6.20,1.30,14.30,12.60,10.70,27.00,2,16.60,52798
3,76.00,4.00,13.00,1.30,6.70,11.90,10.20,41.40,2,18.40,58956
3,76.00,2.90,15.60,1.20,16.80,11.30,14.80,59.50,2,24.80,47892
3,76.00,7.80,4.10,1.00,13.10,8.20,5.60,15.90,3,15.00,54012
3,75.80,1.40,20.70,3.40,21.30,20.30,21.70,60.70,1,34.70,37233
3,75.80,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,75.80,3.10,0.00,1.20,31.10,16.80,13.90,15.20,2,20.20,49070
2,75.70,3.10,0.00,1.20,31.10,16.80,13.90,15.20,2,20.20,49070
3,75.60,1.40,2.60,1.00,9.00,11.00,7.30,31.80,3,15.40,60296
3,75.60,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
4,75.60,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,75.60,9.00,0.00,1.80,19.80,9.30,4.90,15.00,3,13.50,60801
3,75.50,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
3,75.50,4.60,8.90,0.50,14.40,7.80,10.30,17.00,3,19.00,60163
3,75.50,4.60,8.90,0.50,14.40,7.80,10.30,17.00,3,19.00,60163
4,75.50,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,75.50,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
3,75.30,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
3,75.30,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
4,75.30,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,75.20,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
3,75.20,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,75.20,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
3,75.10,4.70,29.80,2.00,24.50,15.50,11.80,60.40,1,32.90,40263
3,74.90,2.70,5.20,0.80,16.10,8.70,7.60,33.10,2,22.50,50748
4,74.90,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
3,74.90,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,74.80,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,74.80,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,74.70,1.60,28.70,0.90,26.60,23.40,14.30,48.20,1,27.30,42725
3,74.70,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
2,74.70,4.30,4.00,2.50,19.90,19.40,13.50,15.80,2,22.60,46342
4,74.60,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
3,74.60,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
3,74.60,13.80,16.70,1.40,24.40,14.00,10.60,26.30,1,27.10,42728
3,74.50,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
3,74.50,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,74.50,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
2,74.50,6.40,0.00,2.30,14.90,13.90,8.90,11.80,2,20.10,43972
3,74.40,2.70,5.20,0.80,16.10,8.70,7.60,33.10,2,22.50,50748
3,74.40,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
3,74.40,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
4,74.40,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,74.40,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,74.30,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,74.30,0.90,11.20,0.40,14.20,12.30,5.70,27.30,3,13.10,73703
4,74.30,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
4,74.30,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,74.30,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,74.20,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
4,74.20,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,74.10,1.40,20.70,3.40,21.30,20.30,21.70,60.70,1,34.70,37233
2,74.10,0.10,21.40,1.30,16.30,18.60,7.10,49.00,1,33.10,42807
4,74.10,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,74.10,4.10,0.00,0.70,45.90,16.50,15.40,10.90,2,24.40,41701
4,74.00,1.60,28.70,0.90,26.60,23.40,14.30,48.20,1,27.30,42725
