District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Cabarrus County Schools,130350,Cabarrus-Kannapolis Early Coll,09-13,36.6,A,89.3,,,
Union County Public Schools,900377,Weddington High,09-12,5.1,A,89.3,,,
Cleveland County Schools,230322,Cleveland ECHS,09-13,46.7,A,89.2,,,
Lenoir County Public Schools,540317,Lenoir County Early College High,09-13,55.4,A,89.2,,,
Union County Public Schools,900305,New Town Elementary,PK-05,<5,A,89.2,,,
New Hanover County Schools,650394,Wilmington Early College High,09-13,48.6,A,89.1,,,
Wake County Schools,920391,Davis Drive Middle,06-08,8.3,A,89.0,,,
Lee County Schools,530335,Lee Early College,09-13,56.2,A,88.9,,,
Pitt County Schools,740501,Innovation Early College High,09-10,56.6,A,88.9,,,
Davie County Schools,300314,Davie County Early College High,09-13,43.9,A,88.8,,,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,09-12,9.6,A,88.7,,,
Surry County Schools,860354,Surry Early College,09-13,60.7,A,88.7,,,
Craven County Schools,250321,Early College EAST High,09-13,30.6,A,88.6,,,
Carteret County Public Schools,160343,Marine Sci. & Tech. Early College HS,09-10,64.6,A,88.1,,,
Union County Public Schools,900353,Sandy Ridge Elementary,PK-05,5.8,A,88.1,,,
Wilson County Schools,980398,Wilson Early College Academy,09-13,<5,A,88.1,,,
Haywood County Schools,440332,Riverbend Elementary,0K-05,41.7,A,88.0,,,
Forsyth County Schools,340440,Meadowlark Elementary,PK-05,22.4,A,87.8,,,
Rockingham County Schools,790379,Rockingham Co Early College High,09-13,36.9,A,87.8,,,
Charter Schools,68C000,The Expedition School,0K-08,<5,A,87.8,,,
Forsyth County Schools,340512,Sherwood Forest Elementary,PK-05,15.6,A,87.7,,,
Charlotte-Mecklenburg Schools,600451,McKee Road Elementary,0K-05,14.0,A,87.7,,,
Charlotte-Mecklenburg Schools,600508,Providence High,09-12,8.5,A,87.7,,,
Union County Public Schools,900311,Cuthbertson High,09-12,<5,A,87.6,,,
Charter Schools,81A000,Thomas Jefferson Class Academy,0K-12,13.3,B,87.6,,,
Greene County Schools,400315,Greene Early College High,09-13,56.7,A,87.5,,,
Mooresville City Schools,491318,Rocky River Elementary,PK-03,18.7,A,87.5,,,
Charter Schools,60D000,Lake Norman Charter,0K-12,<5,A,87.5,,,
Charlotte-Mecklenburg Schools,600392,Polo Ridge Elementary,0K-05,6.2,A,87.4,,,
Union County Public Schools,900310,Cuthbertson Middle,06-08,5.9,A,87.4,,,
Yadkin County Schools,990332,Yadkin Early College,09-13,54.3,A,87.4,,,
Alexander County Schools,020303,Alexander Early College,09-11,27.5,A,87.3,,,
Guilford County Schools,410502,Oak Ridge Elementary,PK-05,9.2,A,87.3,,,
Wake County Schools,920614,White Oak Elementary,PK-05,5.8,A,87.3,,,
Iredell-Statesville Schools,490307,Agriculture and Science Early College,09-13,28.9,A,87.2,,,
Charlotte-Mecklenburg Schools,600569,Charlotte Teacher Early College,09-11,36.0,B,87.0,,,
Cumberland County Schools,260312,Beaver Dam Elementary,0K-05,56.0,A,86.9,,,
Sampson County Schools,820320,Clement Elementary,PK-05,61.2,B,86.9,,,
Vance County Schools,910382,Vance Co Early College,09-13,27.8,A,86.9,,,
Cumberland County Schools,260347,Cumberland International Early College,09-12,53.1,A,86.8,,,
Forsyth County Schools,340560,Whitaker Elementary,PK-05,15.7,A,86.8,,,
Union County Public Schools,900380,Wesley Chapel Elementary,0K-05,12.2,A,86.8,,,
Charter Schools,84B000,Gray Stone Day,06-12,<5,A,86.8,,,
Camden County Schools,150308,Grandy Primary,PK-03,23.7,B,86.5,,,
Forsyth County Schools,340348,Clemmons Elementary,PK-05,21.0,A,86.4,,,
Charlotte-Mecklenburg Schools,600567,Charlotte Engineering Early College-UNCC,09-13,28.9,A,86.4,,,
Wake County Schools,920504,Morrisville Elementary,0K-05,6.8,A,86.3,,,
Wake County Schools,920523,Olive Chapel Elementary,PK-05,8.3,A,86.3,,,
Stanly County Schools,840361,Stanly Early College High,09-13,40.4,A,86.2,,,
Charter Schools,92E000,Sterling Montessori Academy,PK-08,<5,B,86.2,,,
Durham Public Schools,320317,City of Medicine Academy,09-12,56.3,A,86.1,,,
Wilson County Schools,980364,Rock Ridge Elementary,0K-05,22.8,A,86.1,,,
Charter Schools,49E000,Pine Lake Preparatory,0K-12,<5,A,86.1,,,
Charlotte-Mecklenburg Schools,600313,Bailey Middle,06-08,17.8,A,86.0,,,
Wake County Schools,920369,Cedar Fork Elementary,PK-05,10.1,A,86.0,,,
Wake County Schools,920569,Sycamore Creek Elementary,PK-05,11.1,B,86.0,,,
Cabarrus County Schools,130319,Cox Mill Elementary,0K-05,6.1,A,85.9,,,
Jackson County Schools,500323,Jackson Co Early College,09-13,21.9,A,85.9,,,
Guilford County Schools,410579,UNCG Early/Middle College,09-12,53.5,A,85.8,,,
Charlotte-Mecklenburg Schools,600406,Hawk Ridge Elementary,0K-05,8.6,A,85.8,,,
Charlotte-Mecklenburg Schools,600497,Piedmont IB Middle,06-08,40.8,A,85.8,,,
Wake County Schools,920526,Panther Creek High,09-12,7.2,A,85.8,,,
Nash-Rocky Mount Schools,640347,NRM Early College High School,09-13,38.1,A,85.6,,,
Brunswick County Schools,100340,Union Elementary,0K-05,59.6,A,85.4,,,
Charter Schools,41J000,Summerfield Charter Academy,0K-08,14.0,A,85.4,,,
Wayne County Public Schools,960490,Wayne Early / Middle College High,09-13,55.7,A,85.3,,,
Yancey County Schools,995304,Bald Creek Elementary,PK-05,58.6,A,85.3,,,
Bertie County Schools,080311,Bertie Early College High,09-13,31.4,A,85.2,,,
Charlotte-Mecklenburg Schools,600345,Community House Middle,06-08,12.4,A,85.1,,,
Charter Schools,78B000,Southeastern Academy,0K-08,39.3,A,85.1,,,
Edgecombe County Public School,330326,Edgecombe Early College High,09-13,24.6,A,85.0,,,
Forsyth County Schools,340432,Lewisville Elementary,PK-05,23.1,A,85.0,,,
Wake County Schools,920447,Holly Springs Elementary,PK-05,14.7,A,85.0,,,
Guilford County Schools,410486,Northern Guilford Elementary,0K-05,11.6,B,84.8,,,
Wake County Schools,920457,Holly Grove Elementary,PK-05,8.3,B,84.8,,,
Guilford County Schools,410399,Middle College at GTCC-Greensboro,09-13,48.9,A,84.7,,,
Charlotte-Mecklenburg Schools,600382,Elizabeth Lane Elem,0K-05,9.8,B,84.6,,,
Wake County Schools,920444,Heritage Middle,06-08,11.4,A,84.6,,,
Charlotte-Mecklenburg Schools,600537,South Charlotte Middle,06-08,19.9,A,84.4,,,
Pitt County Schools,740500,Early College High School,09-13,44.2,A,84.4,,,
Wake County Schools,920453,Jones Dairy Elementary,PK-05,9.9,B,84.3,,,
Alamance-Burlington Schools,010303,ABSS Early College at ACC,09-13,43.8,A,84.2,,,
Charlotte-Mecklenburg Schools,600314,Bain Elementary,0K-05,18.0,A,84.2,,,
Union County Public Schools,900347,Poplin Elementary,PK-05,19.6,B,84.2,,,
Davidson County Schools,290389,Yadkin Valley Regional Career Academy,09-13,40.6,B,84.1,,,
Wake County Schools,920449,Holly Ridge Elementary,PK-05,17.5,A,84.1,,,
Polk County Schools,750320,Saluda Elementary School,PK-05,30.5,B,84.0,,,
Union County Public Schools,900368,Unionville Elementary,PK-05,27.0,A,84.0,,,
Wake County Schools,920315,Apex Friendship Middle,06-08,13.1,A,84.0,,,
Charlotte-Mecklenburg Schools,600383,Elon Park Elementary,0K-05,8.5,B,83.9,,,
New Hanover County Schools,650366,Dr John Codington Elem,0K-05,28.1,B,83.8,,,
Wake County Schools,920557,Scotts Ridge Elementary,PK-05,5.0,B,83.8,,,
Lincoln County Schools,550356,Rock Springs Elementary,PK-05,16.1,A,83.7,,,
Chapel Hill-Carrboro Schools,681314,East Chapel Hill High,09-12,17.1,A,83.7,,,
Wake County Schools,920624,Willow Springs Elementary,0K-05,21.5,A,83.7,,,
Henderson County Schools,450333,Hendersonville Elementary,0K-05,34.4,A,83.6,,,
Charlotte-Mecklenburg Schools,600413,Highland Mill Montessori,PK-06,25.4,B,83.6,,,
Pender County Schools,710344,Topsail Elementary,PK-05,22.8,A,83.6,,,
Guilford County Schools,410559,Southwest Elementary,0K-05,21.4,A,83.5,,,
Watauga County Schools,950312,Blowing Rock Elementary,PK-08,19.8,B,83.5,,,
Charlotte-Mecklenburg Schools,600522,Selwyn Elementary,0K-05,15.0,B,83.4,,,
Chapel Hill-Carrboro Schools,681334,Rashkis Elementary,PK-05,29.6,B,83.4,,,
Wake County Schools,920441,Green Hope High,09-12,7.5,A,83.4,,,
Iredell-Statesville Schools,490316,Central Elementary,PK-05,33.8,A,83.3,,,
Charter Schools,93N000,Pine Springs Prep Academy,0K-07,<5,A,83.3,,,
Henderson County Schools,450339,Glenn C Marlow Elementary,0K-05,22.9,A,83.1,,,
Charter Schools,34H000,NC Leadership Charter Academy,0K-12,<5,B,83.1,,,
Madison County Schools,570317,Madison Early College High,09-13,36.2,A,82.9,,,
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,0K-05,16.6,B,82.8,,,
Charter Schools,73B000,Roxboro Community School,06-12,7.4,B,82.8,,,
Charter Schools,93M000,Peak Charter Academy,0K-08,7.6,A,82.8,,,
Guilford County Schools,410574,Summerfield Elementary,0K-05,19.3,B,82.7,,,
New Hanover County Schools,650339,Holly Tree Elementary,0K-05,31.5,B,82.7,,,
Robeson County Schools,780322,East Robeson Primary,PK-03,83.0,A,82.7,,,
Charter Schools,60I000,Community School of Davidson,0K-12,<5,A,82.7,,,
Carteret County Public Schools,160316,Harkers Island Elementary,0K-05,67.7,B,82.6,,,
