District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Iredell-Statesville Schools,490337,Lakeshore Elementary,PK-05,15.2,B,68.2,,,
Mooresville City Schools,491306,Mooresville Intermediate,04-06,37.1,B,68.2,,,
Stokes County Schools,850314,Mount Olive Elementary,0K-05,41.6,B,68.2,,,
Wake County Schools,920388,Daniels Middle,06-08,31.3,B,68.2,,,
Sampson County Schools,820350,Midway Elementary,PK-05,58.3,C,68.1,,,
Burke County Schools,120334,Heritage Middle,06-08,50.4,B,68.0,,,
Forsyth County Schools,340556,West Forsyth High,09-12,24.5,B,68.0,,,
Mooresville City Schools,491312,Mooresville High School,09-12,29.2,B,68.0,,,
Randolph County Schools,760376,Trinity Elementary,0K-05,60.0,B,68.0,,,
Caldwell County Schools,140372,Lower Creek Elementary,0K-05,43.9,B,67.9,,,
Iredell-Statesville Schools,490318,Coddle Creek Elementary,PK-05,22.0,B,67.9,,,
Durham Public Schools,320354,Morehead Montessori,PK-05,36.5,B,67.8,,,
Forsyth County Schools,340472,Old Richmond Elementary,PK-05,51.3,B,67.8,,,
Surry County Schools,860332,Mountain Park Elementary,PK-05,74.7,B,67.8,,,
Union County Public Schools,900384,Western Union Elementary,PK-05,35.0,B,67.8,,,
Lincoln County Schools,550349,Pumpkin Center Intermediate,03-05,36.0,B,67.7,,,
Wake County Schools,920445,Heritage High,09-12,18.8,B,67.7,,,
Cleveland County Schools,230328,Crest Middle,06-08,54.2,B,67.6,,,
Davidson County Schools,290316,Davis-Townsend Elementary,PK-05,42.7,B,67.6,,,
Durham Public Schools,320347,George Watts Elementary,PK-05,35.8,B,67.6,,,
Franklin County Schools,350340,Youngsville Elementary,0K-05,45.2,B,67.6,,,
New Hanover County Schools,650323,Edwin A Anderson Elementary,0K-05,44.2,B,67.6,,,
Rutherford County Schools,810388,Rutherfordton Elementary School,PK-05,41.9,B,67.6,,,
Charter Schools,81B000,Lake Lure Classical Academy,0K-12,20.8,B,67.6,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,0K-05,32.2,B,67.5,,,
Camden County Schools,150310,Camden Intermediate,04-06,21.3,C,67.5,,,
Carteret County Public Schools,160308,Beaufort Elementary,PK-05,71.3,B,67.5,,,
Durham Public Schools,320313,Easley Elementary,0K-05,29.1,B,67.5,,,
Charlotte-Mecklenburg Schools,600588,Winget Park Elementary,PK-05,35.2,B,67.5,,,
Wake County Schools,920626,Yates Mill Elementary,PK-05,50.2,C,67.5,,,
Charter Schools,61N000,Queen City STEM School,0K-08,9.1,C,67.5,,,
Charter Schools,88A000,Brevard Academy,0K-08,20.9,B,67.5,,,
Alexander County Schools,020308,Ellendale Elementary,0K-05,41.8,B,67.4,,,
Chatham County Schools,190348,Pittsboro Elementary,PK-04,37.9,B,67.4,,,
Cherokee County Schools,200304,Andrews Elementary,PK-04,42.9,C,67.4,,,
Cabarrus County Schools,130323,Mount Pleasant Middle,06-08,34.0,B,67.3,,,
Guilford County Schools,410430,David D Jones Elementary,PK-05,48.7,B,67.3,,,
Lee County Schools,530346,Tramway Elementary,0K-05,45.5,B,67.3,,,
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,06-08,36.7,B,67.3,,,
Guilford County Schools,410394,Grimsley High,09-12,40.1,B,67.2,,,
Catawba County Schools,180379,Snow Creek Elementary,PK-06,50.1,B,67.1,,,
Cumberland County Schools,260403,New Century International Elementary,PK-05,51.6,B,67.1,,,
Macon County Schools,560332,Nantahala School,0K-12,53.9,C,67.1,,,
New Hanover County Schools,650341,John J Blair Elementary,0K-05,49.8,C,67.1,,,
Wake County Schools,920470,Lead Mine Elementary,0K-05,35.8,B,67.1,,,
Wayne County Public Schools,960450,Northeast Elementary,PK-05,50.7,C,67.1,,,
Brunswick County Schools,100304,Bolivia Elementary,0K-05,71.9,B,67.0,,,
Cabarrus County Schools,130355,Harold E. Winkler Middle,06-08,49.0,B,67.0,,,
Cherokee County Schools,200308,Andrews High,09-12,60.8,B,67.0,,,
Cumberland County Schools,260397,E Melvin Honeycutt Elementary,0K-05,45.4,C,67.0,,,
Gaston County Schools,360390,East Gaston High,09-12,39.3,B,67.0,,,
Orange County Schools,680310,Cedar Ridge High,09-12,33.3,B,67.0,,,
Randolph County Schools,760308,Braxton Craven Middle,06-06,46.2,C,67.0,,,
Wake County Schools,920356,Carnage Middle,06-08,37.8,B,67.0,,,
Wake County Schools,920364,Cary Elementary,PK-05,36.9,C,67.0,,,
Wilkes County Schools,970352,Mulberry Elementary School,PK-05,48.2,B,67.0,,,
Alamance-Burlington Schools,010312,Highland Elementary,0K-05,37.7,B,66.9,,,
Buncombe County Schools,110356,Fairview Elementary,0K-05,44.0,B,66.9,,,
Davidson County Schools,290344,Midway Elementary,PK-05,35.9,B,66.9,,,
Lincoln County Schools,550336,Love Memorial Elementary,PK-05,69.5,B,66.9,,,
Wake County Schools,920349,Bryan Road Elementary,PK-05,48.8,B,66.9,,,
Charter Schools,26B000,Alpha Academy,0K-09,49.3,B,66.9,,,
Alexander County Schools,020330,West Alexander Middle,06-08,35.3,B,66.8,,,
Whiteville City Schools,241304,Central Middle,06-08,76.8,C,66.8,,,
Granville County Schools,390333,Mount Energy Elementary,PK-05,55.1,B,66.8,,,
Hoke County Schools,470340,Rockfish Hoke Elementary,PK-05,41.2,C,66.8,,,
Lenoir County Public Schools,540320,Moss Hill Elementary,0K-05,72.0,B,66.8,,,
Stokes County Schools,850348,Sandy Ridge Elementary,0K-05,61.0,B,66.8,,,
Cherokee County Schools,200332,Peachtree Elementary,PK-05,38.3,C,66.7,,,
Cumberland County Schools,260375,Grays Creek Elementary,PK-05,50.9,B,66.7,,,
Forsyth County Schools,340320,Brunson Elementary,PK-05,45.0,C,66.7,,,
New Hanover County Schools,650325,Emma B Trask Middle,06-08,55.7,B,66.7,,,
Columbus County Schools,240368,Nakina Middle,06-08,65.8,C,66.6,,,
Moore County Schools,630324,Sandhills Farm Life Elementary,0K-05,16.1,C,66.6,,,
Rutherford County Schools,810364,Mt. Vernon-Ruth Elementary School,PK-05,40.9,B,66.5,,,
Dare County Schools,280330,First Flight High School,09-12,21.0,B,66.4,,,
Franklin County Schools,350331,Long Mill Elementary,PK-05,58.8,B,66.4,,,
Gaston County Schools,360360,Cherryville High,09-12,47.3,B,66.4,,,
New Hanover County Schools,650304,Bradley Creek Elementary,0K-05,52.4,C,66.4,,,
Onslow County Schools,670352,Swansboro High,09-12,39.5,B,66.4,,,
Wilkes County Schools,970344,Mount Pleasant Elementary School,PK-05,34.1,C,66.4,,,
Franklin County Schools,350316,Edward Best Elementary,PK-05,67.6,B,66.3,,,
Guilford County Schools,410382,Gibsonville Elementary,PK-05,52.3,B,66.3,,,
Mooresville City Schools,491308,Mooresville Middle,07-08,36.2,C,66.3,,,
Randolph County Schools,760328,Grays Chapel Elementary,0K-05,52.5,C,66.3,,,
Charter Schools,01C000,Clover Garden,0K-12,11.0,B,66.3,,,
Charter Schools,49F000,Langtree Charter Academy,0K-12,7.9,C,66.3,,,
Hickory City Schools,181336,Oakwood Elementary,PK-05,51.5,C,66.2,,,
Charlotte-Mecklenburg Schools,600408,Lawrence Orr Elementary,PK-05,53.9,B,66.2,,,
Rockingham County Schools,790380,Rockingham County Middle,06-08,43.2,C,66.2,,,
Wake County Schools,920416,Fuller Elementary,0K-05,40.2,C,66.2,,,
Davidson County Schools,290334,Ledford Middle,06-08,37.3,B,66.1,,,
Charlotte-Mecklenburg Schools,600379,Eastover Elementary,0K-05,25.8,B,66.1,,,
Onslow County Schools,670338,Parkwood Elementary,0K-05,48.1,B,66.1,,,
Union County Public Schools,900342,Porter Ridge High School,09-12,25.5,B,66.1,,,
Carteret County Public Schools,160310,Beaufort Middle,06-08,67.0,B,66.0,,,
Catawba County Schools,180342,Jacobs Fork Middle,07-08,41.8,B,66.0,,,
Gaston County Schools,360396,Forestview High,09-12,34.1,B,66.0,,,
New Hanover County Schools,650362,Pine Valley Elementary,0K-05,55.0,B,66.0,,,
Cleveland County Schools,230316,Burns Middle,06-08,59.4,B,65.9,,,
Dare County Schools,280328,First Flight Middle School,06-08,29.2,C,65.9,,,
Forsyth County Schools,340350,Clemmons Middle School,06-08,48.2,B,65.9,,,
Johnston County Schools,510373,Powhatan Elementary,PK-05,20.5,C,65.9,,,
Johnston County Schools,510377,River Dell Elementary,PK-05,22.2,B,65.9,,,
Charlotte-Mecklenburg Schools,600535,South Mecklenburg High,09-12,40.3,B,65.9,,,
Asheboro City Schools,761328,Guy B Teachey Elementary,0K-05,66.7,B,65.9,,,
Rowan-Salisbury Schools,800312,Bostian Elementary,0K-05,32.4,C,65.9,,,
Sampson County Schools,820346,Hobbton Elementary,PK-05,63.2,C,65.9,,,
Surry County Schools,860326,J Sam Gentry Middle,06-08,60.8,B,65.9,,,
Davidson County Schools,290349,Oak Grove High,09-12,27.2,B,65.8,,,
New Hanover County Schools,650351,Myrtle Grove Middle,06-08,49.8,C,65.8,,,
Person County Schools,730354,Stories Creek Elementary,0K-05,48.2,B,65.8,,,
Pitt County Schools,740380,W H Robinson Elementary,PK-05,54.1,B,65.8,,,
Union County Public Schools,900364,Union Elementary,PK-05,66.9,B,65.8,,,
Wake County Schools,920327,Ballentine Elementary,PK-05,27.0,C,65.8,,,
Yadkin County Schools,990304,Boonville Elementary,PK-12,63.3,B,65.8,,,
Charter Schools,07A000,Washington Montessori,0K-12,10.0,C,65.8,,,
Chatham County Schools,190332,J S Waters School,0K-08,54.3,B,65.7,,,
Craven County Schools,250340,Havelock High,09-12,50.6,B,65.7,,,
Rowan-Salisbury Schools,800352,Faith Elementary,0K-05,44.4,B,65.7,,,
Surry County Schools,860320,Flat Rock Elementary,PK-05,59.1,B,65.7,,,
Wilkes County Schools,970370,Ronda-Clingman Elementary School,PK-05,26.5,B,65.7,,,
Caldwell County Schools,140352,Hudson Elementary,PK-05,61.9,B,65.6,,,
Forsyth County Schools,340334,Cash Elementary,PK-05,43.4,B,65.6,,,
Charlotte-Mecklenburg Schools,600333,Carmel Middle,06-08,37.9,B,65.6,,,
Nash-Rocky Mount Schools,640324,Coopers Elementary,PK-05,54.3,B,65.6,,,
Wake County Schools,920412,Enloe High,09-12,26.1,B,65.6,,,
Wake County Schools,920506,Moore Square Middle,06-08,29.7,C,65.6,,,
Charter Schools,61S000,Unity Classical Charter,0K-03,18.8,C,65.6,,,
Alexander County Schools,020304,Bethlehem Elementary,PK-05,30.9,B,65.5,,,
Carteret County Public Schools,160332,Down East Middle and Smyrna Elementary,PK-08,71.1,C,65.5,,,
Hertford County Schools,460312,Bearfield Primary,PK-03,64.6,C,65.5,,,
Wake County Schools,920380,Conn Elementary,PK-05,40.0,C,65.5,,,
Charter Schools,98A000,Sallie B Howard School,0K-08,61.1,B,65.5,,,
Haywood County Schools,440328,Clyde Elementary,PK-05,46.2,B,65.4,,,
McDowell County Schools,590316,Glenwood Elementary School,PK-05,52.9,B,65.4,,,
Watauga County Schools,950316,Cove Creek Elementary,PK-08,48.6,B,65.4,,,
Charter Schools,32K000,Central Park School For Child,0K-08,29.6,B,65.4,,,
Charter Schools,49B000,American Renaissance School,0K-08,13.9,B,65.4,,,
Clay County Schools,220308,Hayesville Elementary,PK-04,64.2,C,65.3,,,
Haywood County Schools,440368,North Canton Elementary,PK-05,48.9,C,65.3,,,
Charlotte-Mecklenburg Schools,600590,River Gate Elementary,0K-05,42.9,B,65.3,,,
Union County Public Schools,900344,Parkwood High,09-12,29.1,B,65.3,,,
Catawba County Schools,180302,Harry M Arndt Middle,07-08,50.1,B,65.2,,,
Cumberland County Schools,260366,Howard L Hall Elementary,0K-05,48.0,C,65.2,,,
Guilford County Schools,410451,John Van Lindley Elementary,PK-05,54.1,B,65.2,,,
Haywood County Schools,440378,Pisgah High,09-12,40.9,B,65.2,,,
Surry County Schools,860339,Pilot Mountain Elementary,PK-05,52.5,C,65.2,,,
Charter Schools,98B000,Wilson Preparatory Academy,0K-12,7.9,C,65.2,,,
Cabarrus County Schools,130330,R Brown McAllister Elementary,0K-05,39.2,B,65.1,,,
Camden County Schools,150312,Camden Middle,07-08,25.4,B,65.1,,,
Chatham County Schools,190341,North Chatham Elementary,PK-05,34.5,B,65.1,,,
Cumberland County Schools,260318,Jack Britt High,09-12,35.9,B,65.1,,,
Dare County Schools,280304,Cape Hatteras Secondary School,06-12,49.4,B,65.1,,,
Johnston County Schools,510327,Cleveland High,09-12,24.6,B,65.1,,,
Johnston County Schools,510329,Cleveland Middle,06-08,21.8,B,65.1,,,
Onslow County Schools,670310,Carolina Forest Elementary,0K-05,39.7,C,65.1,,,
Caldwell County Schools,140304,Baton Elementary,PK-05,60.2,C,65.0,,,
Mitchell County Schools,610310,Deyton Elementary,03-05,59.2,B,65.0,,,
Buncombe County Schools,110368,Haw Creek Elementary,0K-05,44.4,B,64.9,,,
Davie County Schools,300310,Cornatzer Elementary,PK-05,49.9,B,64.9,,,
Moore County Schools,630328,Highfalls Elementary,0K-08,38.2,C,64.9,,,
Richmond County Schools,770344,Mineral Springs Elementary,PK-05,76.1,B,64.9,,,
Asheville City Schools,111312,Claxton Elementary,0K-05,36.2,C,64.8,,,
Cabarrus County Schools,130325,Charles E Boger Elementary,0K-05,40.3,B,64.8,,,
Iredell-Statesville Schools,490338,Lakeshore Middle,06-08,25.0,C,64.8,,,
Northampton County Schools,660400,Northampton Early College,09-13,33.1,B,64.8,,,
Person County Schools,730332,Helena Elementary,0K-05,32.4,B,64.8,,,
Transylvania County Schools,880330,Rosman Middle,06-08,62.2,B,64.8,,,
Union County Public Schools,900307,Rocky River Elementary,PK-05,63.4,B,64.8,,,
Currituck County Schools,270309,Jarvisburg Elementary,0K-05,49.1,C,64.7,,,
Haywood County Schools,440349,Jonathan Valley Elementary,PK-05,57.2,B,64.7,,,
Charter Schools,90B000,Union Day School,0K-05,<5,C,64.7,,,
Charter Schools,93P000,Rolesville Charter Academy,0K-06,22.5,C,64.7,,,
Davidson County Schools,290332,Hasty Elementary,PK-05,64.4,B,64.6,,,
Davie County Schools,300326,Pinebrook Elementary,PK-05,35.4,B,64.6,,,
McDowell County Schools,590340,Old Fort Elementary School,PK-05,68.5,B,64.6,,,
Randolph County Schools,760364,Tabernacle Elementary,PK-05,67.1,B,64.6,,,
Union County Public Schools,900362,Sun Valley Middle,06-08,33.0,C,64.6,,,
Wilson County Schools,980338,Forest Hills Middle,06-08,24.9,B,64.6,,,
Yancey County Schools,995328,Micaville Elementary,0K-05,55.4,C,64.6,,,
Cumberland County Schools,260411,Reid Ross Classical High,09-12,63.5,B,64.5,,,
Yancey County Schools,995324,East Yancey Middle,06-08,46.3,B,64.5,,,
Charter Schools,11D000,The Franklin School of Innovation,05-12,13.4,C,64.5,,,
Charter Schools,50A000,Summit Charter,0K-09,8.1,C,64.5,,,
Hickory City Schools,181332,Longview Elementary,03-05,54.6,B,64.4,,,
Cherokee County Schools,200330,Murphy Middle,06-08,47.7,B,64.4,,,
Cleveland County Schools,230304,Bethware Elementary,PK-04,45.4,C,64.4,,,
Davidson County Schools,290348,North Davidson High,09-12,25.2,B,64.4,,,
Iredell-Statesville Schools,490348,Scotts Elementary,PK-05,62.2,B,64.4,,,
Cabarrus County Schools,130331,Pitts School Road Elementary,0K-05,31.5,C,64.3,,,
Caswell County Schools,170334,North Elementary,PK-05,57.4,C,64.3,,,
Guilford County Schools,410448,Lincoln Academy,04-08,56.8,C,64.3,,,
Moore County Schools,630331,New Century Middle,06-08,32.6,C,64.3,,,
Orange County Schools,680332,Orange High,09-12,30.5,B,64.3,,,
Stokes County Schools,850358,West Stokes High,09-12,38.0,B,64.3,,,
Buncombe County Schools,110379,North Buncombe Elementary,0K-04,48.6,C,64.2,,,
Burke County Schools,120350,Liberty Middle,06-08,48.9,B,64.2,,,
Durham Public Schools,320370,Rogers-Herr Middle,06-08,46.2,B,64.2,,,
Gaston County Schools,360378,Stuart W Cramer High,09-12,37.3,B,64.2,,,
Guilford County Schools,410553,Southern Elementary,PK-05,68.1,C,64.2,,,
Charlotte-Mecklenburg Schools,600534,Smithfield Elementary,PK-05,42.6,C,64.2,,,
Pasquotank County Schools,700328,Weeksville Elementary,0K-05,56.9,C,64.2,,,
Watauga County Schools,950332,Valle Crucis Elementary,PK-08,33.8,B,64.2,,,
Wilkes County Schools,970389,West Wilkes Middle School,06-08,36.4,B,64.2,,,
Charter Schools,39B000,Oxford Preparatory,06-12,9.0,C,64.2,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,PK-05,40.8,B,64.1,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,06-08,46.3,C,64.1,,,
Cabarrus County Schools,130338,Weddington Hills Elementary,0K-05,53.4,B,64.1,,,
Catawba County Schools,180326,Charles H Tuttle Elementary,0K-06,47.6,C,64.1,,,
Wilson County Schools,980320,Frederick Douglass Elementary,0K-05,41.9,C,64.1,,,
Cabarrus County Schools,130322,Mount Pleasant Elementary,0K-05,37.4,B,64.0,,,
Caldwell County Schools,140384,Sawmills Elementary,PK-05,58.2,C,64.0,,,
Charlotte-Mecklenburg Schools,600527,Shamrock Gardens Elementary,PK-05,42.1,C,64.0,,,
Wake County Schools,920402,East Cary Middle,06-08,33.3,C,64.0,,,
Wake County Schools,920554,Sanford Creek Elementary,PK-05,31.0,C,64.0,,,
Alexander County Schools,020320,Stony Point Elementary,PK-05,60.3,C,63.9,,,
Anson County Schools,040308,Ansonville Elementary,0K-05,42.1,B,63.9,,,
Cleveland County Schools,230350,Kings Mountain High,09-12,43.4,B,63.9,,,
Cleveland County Schools,230351,Kings Mountain Intermediate,05-06,59.9,C,63.9,,,
Granville County Schools,390362,Tar River Elementary,PK-05,44.4,C,63.9,,,
Macon County Schools,560330,Macon Middle School,07-08,58.3,B,63.9,,,
Rowan-Salisbury Schools,800372,Mt Ulla Elementary,0K-05,51.6,C,63.9,,,
Sampson County Schools,820349,Lakewood High,09-12,61.9,B,63.9,,,
Alleghany County Schools,030308,Glade Creek Elementary,PK-08,66.5,B,63.8,,,
Cherokee County Schools,200310,Andrews Middle,05-08,66.8,B,63.8,,,
Iredell-Statesville Schools,490360,Shepherd Elementary,PK-05,36.4,C,63.8,,,
Macon County Schools,560320,Franklin High,09-12,47.3,B,63.8,,,
Martin County Schools,580356,Rodgers Elementary,0K-05,33.2,C,63.8,,,
Orange County Schools,680316,Charles W Stanford Middle,06-08,30.7,C,63.8,,,
Wake County Schools,920351,Buckhorn Creek Elementary,PK-05,32.5,C,63.8,,,
Charter Schools,65D000,Island Montessori Charter School,0K-08,17.5,B,63.8,,,
Columbus County Schools,240370,Old Dock Elementary,PK-05,69.1,C,63.7,,,
Wilson County Schools,980342,James Hunt High,09-12,17.6,B,63.7,,,
Buncombe County Schools,110422,Estes Elementary,0K-05,44.5,C,63.6,,,
Cabarrus County Schools,130321,Carl A Furr Elementary,PK-05,53.3,C,63.6,,,
Gates County Schools,370316,Gatesville Elementary,PK-05,61.3,B,63.6,,,
Haywood County Schools,440396,Waynesville Middle,06-08,48.3,C,63.6,,,
Wake County Schools,920442,Hilburn Drive Academy,PK-08,28.3,C,63.6,,,
Wake County Schools,920460,Kingswood Elementary,PK-05,42.0,C,63.6,,,
Wake County Schools,920543,Richland Creek Elementary,PK-05,47.8,C,63.6,,,
Charter Schools,32R000,Excelsior Classical Academy,0K-07,7.5,C,63.6,,,
Charlotte-Mecklenburg Schools,600424,Idlewild Elementary,PK-05,48.6,C,63.5,,,
Sampson County Schools,820347,Hobbton Middle,06-08,61.8,C,63.5,,,
Wake County Schools,920495,Middle Creek High,09-12,22.9,B,63.5,,,
Moore County Schools,630360,Union Pines High,09-12,31.6,B,63.4,,,
Orange County Schools,680308,Cameron Park Elementary,PK-05,40.3,B,63.4,,,
Charter Schools,92R000,Casa Esperanza Montessori Charter School,PK-08,7.4,C,63.4,,,
Cleveland County Schools,230362,Shelby Middle,07-08,47.1,B,63.3,,,
Johnston County Schools,510382,The Innovation Academy at South Campus,06-07,44.9,C,63.3,,,
Stokes County Schools,850354,London Elementary,PK-05,65.4,B,63.3,,,
Wake County Schools,920424,Fuquay-Varina Middle,06-08,39.7,C,63.3,,,
Wake County Schools,920550,Salem Elementary,PK-05,28.1,C,63.3,,,
Wake County Schools,920628,York Elementary,PK-05,43.2,C,63.3,,,
Wilkes County Schools,970322,East Wilkes Middle School,06-08,30.0,B,63.3,,,
Jones County Schools,520336,Trenton Elementary,PK-06,79.1,C,63.2,,,
McDowell County Schools,590320,Marion Elementary School,PK-05,74.5,B,63.2,,,
Surry County Schools,860344,Rockford Elementary,PK-05,72.2,C,63.2,,,
Chatham County Schools,190328,Horton Middle,05-08,41.1,C,63.1,,,
Chatham County Schools,190340,Moncure School,PK-08,47.8,C,63.1,,,
Cherokee County Schools,200324,Murphy Elementary,PK-05,35.9,B,63.1,,,
Columbus County Schools,240373,CCCA - Fair Bluff /Southeastern Campuses,09-13,65.2,B,63.1,,,
Cumberland County Schools,260417,New Century International Middle,06-08,54.9,B,63.1,,,
Moore County Schools,630336,Pinecrest High,09-12,30.4,B,63.1,,,
Randolph County Schools,760380,Trinity High,09-12,43.2,B,63.1,,,
Brunswick County Schools,100336,Southport Elementary,0K-05,55.5,C,63.0,,,
Catawba County Schools,180352,Mill Creek Middle,07-08,36.5,C,63.0,,,
Iredell-Statesville Schools,490332,Harmony Elementary,PK-05,59.2,B,63.0,,,
Brunswick County Schools,100302,Belville Elementary,0K-05,55.6,B,62.9,,,
Henderson County Schools,450328,Flat Rock Middle,06-08,64.3,C,62.9,,,
Charlotte-Mecklenburg Schools,600316,Barringer Academic Center,0K-05,44.9,C,62.9,,,
Charlotte-Mecklenburg Schools,600500,Pineville Elementary,0K-05,58.6,C,62.9,,,
Robeson County Schools,780328,Green Grove Elementary,PK-03,84.5,C,62.9,,,
Surry County Schools,860316,East Surry High,09-12,42.6,B,62.9,,,
Wake County Schools,920400,Reedy Creek Middle,06-08,39.9,C,62.9,,,
Buncombe County Schools,110320,Black Mountain Primary,0K-03,49.9,C,62.8,,,
Asheville City Schools,111302,Asheville High,09-12,25.2,B,62.8,,,
Catawba County Schools,180316,Blackburn Elementary,0K-06,50.4,C,62.8,,,
Charlotte-Mecklenburg Schools,600361,Butler High,09-12,38.9,B,62.8,,,
Union County Public Schools,900372,Waxhaw Elementary,PK-05,41.7,C,62.8,,,
Cleveland County Schools,230355,Marion Elementary,PK-04,65.2,C,62.7,,,
Johnston County Schools,510333,Corinth Holders High,09-12,23.0,B,62.7,,,
Cumberland County Schools,260325,Cape Fear High,09-12,50.6,B,62.6,,,
Cumberland County Schools,260416,J W Seabrook Elementary,PK-05,68.0,C,62.6,,,
Wake County Schools,920304,Adams Elementary,PK-05,45.8,C,62.6,,,
Wake County Schools,920564,Stough Elementary,PK-05,30.5,C,62.6,,,
Charter Schools,70A000,Northeast Academy of Aerospace & AdvTech,07-12,13.7,C,62.6,,,
Avery County Schools,060302,Avery County High,09-12,46.9,B,62.5,,,
Caldwell County Schools,140356,Hudson Middle,06-08,53.6,C,62.5,,,
Johnston County Schools,510379,Riverwood Middle,06-08,27.2,B,62.5,,,
Lincoln County Schools,550320,East Lincoln High,09-12,23.7,B,62.5,,,
Charlotte-Mecklenburg Schools,600386,Hawthorne Academy of Health Sciences,09-12,31.0,B,62.5,,,
Watauga County Schools,950320,Green Valley Elementary,PK-08,56.5,B,62.5,,,
Buncombe County Schools,110416,Roberson High,09-12,33.7,B,62.4,,,
Burke County Schools,120314,East Burke High,09-12,45.9,B,62.4,,,
Caldwell County Schools,140360,Kings Creek Elementary,PK-08,64.7,C,62.4,,,
Stokes County Schools,850342,Poplar Springs Elementary,0K-05,51.1,B,62.4,,,
Union County Public Schools,900346,Parkwood Middle,06-08,39.9,C,62.4,,,
Wilkes County Schools,970392,Wilkesboro Elementary School,PK-05,32.5,B,62.4,,,
Burke County Schools,120315,East Burke Middle,06-08,58.1,B,62.3,,,
Cabarrus County Schools,130311,Coltrane-Webb Elementary,0K-05,47.1,C,62.3,,,
Chatham County Schools,190350,Siler City Elementary,PK-05,85.3,C,62.3,,,
Moore County Schools,630364,Vass-Lakeview Elementary,PK-05,47.8,C,62.3,,,
Onslow County Schools,670320,Dixon High,09-12,36.7,B,62.3,,,
Polk County Schools,750328,Sunny View Elementary School,PK-05,46.9,C,62.3,,,
Randolph County Schools,760340,Ramseur Elementary,PK-05,55.9,C,62.3,,,
Union County Public Schools,900341,Porter Ridge Elementary,PK-05,45.6,C,62.3,,,
Wake County Schools,920516,North Ridge Elementary,PK-05,41.7,C,62.3,,,
Wake County Schools,920620,Wiley Elementary,0K-05,36.0,C,62.3,,,
Buncombe County Schools,110380,North Buncombe High,09-12,37.9,B,62.2,,,
Burke County Schools,120320,George Hildebrand Elementary,PK-05,65.4,B,62.2,,,
Cumberland County Schools,260398,E E Miller Elementary,PK-05,54.7,B,62.2,,,
Currituck County Schools,270318,Moyock Middle,06-08,26.5,B,62.2,,,
Franklin County Schools,350304,Bunn Elementary,0K-05,71.0,C,62.2,,,
Gaston County Schools,360500,Stanley Middle,06-08,45.9,B,62.2,,,
Charlotte-Mecklenburg Schools,600352,Crown Point Elementary,0K-05,63.3,C,62.1,,,
Wayne County Public Schools,960344,Meadow Lane Elementary,PK-04,43.2,C,62.1,,,
Burke County Schools,120368,Ray Childers Elementary,PK-05,70.3,C,62.0,,,
Catawba County Schools,180376,Saint Stephens High,09-12,46.3,B,62.0,,,
Chatham County Schools,190308,Bonlee School,0K-08,59.1,C,62.0,,,
Currituck County Schools,270310,Shawboro Elementary School,0K-05,33.8,C,62.0,,,
McDowell County Schools,590336,North Cove Elementary School,PK-05,59.9,C,62.0,,,
Charlotte-Mecklenburg Schools,600496,Phillip O Berry Academy of Technology,09-12,56.3,B,62.0,,,
New Hanover County Schools,650326,Emsley A Laney High,09-12,48.0,B,62.0,,,
Stokes County Schools,850316,King Elementary,PK-05,60.7,C,62.0,,,
Wake County Schools,920420,Fuquay-Varina Elementary,PK-05,35.7,C,62.0,,,
Davidson County Schools,290324,East Davidson High,09-12,35.7,B,61.9,,,
Rockingham County Schools,790378,Rockingham County High,09-12,32.1,B,61.9,,,
Sampson County Schools,820312,Roseboro Elementary,PK-05,77.0,C,61.9,,,
Surry County Schools,860324,Franklin Elementary,PK-05,73.8,C,61.9,,,
Wake County Schools,920417,Forest Pines Drive Elementary,PK-05,44.2,C,61.9,,,
Wake County Schools,920451,Harris Creek Elementary,PK-05,35.3,C,61.9,,,
Wake County Schools,920545,Rolesville Middle,06-08,27.5,C,61.9,,,
Buncombe County Schools,110318,Black Mountain Elementary,04-05,54.9,C,61.8,,,
Guilford County Schools,410442,Kiser Middle,06-08,57.3,C,61.8,,,
Rowan-Salisbury Schools,800364,Landis Elementary,PK-05,47.1,C,61.8,,,
Sampson County Schools,820348,Hobbton High,09-12,58.7,B,61.8,,,
Stanly County Schools,840304,Aquadale Elementary,PK-05,49.5,C,61.8,,,
Yancey County Schools,995320,Clearmont Elementary,0K-05,45.0,C,61.8,,,
Alamance-Burlington Schools,010403,Western Alamance Middle,06-08,39.4,C,61.7,,,
Guilford County Schools,410523,Pleasant Garden Elementary,PK-05,46.4,C,61.7,,,
Johnston County Schools,510414,West View Elementary,PK-05,26.6,C,61.7,,,
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,09-12,52.7,B,61.7,,,
Polk County Schools,750318,Polk County High School,09-12,40.9,B,61.7,,,
Stanly County Schools,840312,Endy Elementary,PK-05,45.7,C,61.7,,,
Stokes County Schools,850352,South Stokes High,09-12,44.1,B,61.7,,,
Surry County Schools,860330,Meadowview Magnet Middle,06-08,66.0,C,61.7,,,
